Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,272.000000,278.399994,249.919998,257.920013,257.920013,165846
2012-02-01,254.399994,254.399994,232.000000,236.160004,236.160004,170019
2012-03-01,234.880005,244.800003,217.600006,220.800003,220.800003,137212
2012-04-01,220.800003,236.479996,216.320007,222.399994,222.399994,131464
2012-05-01,224.000000,258.559998,216.960007,250.559998,250.559998,147177
2012-06-01,256.959991,267.200012,229.119995,229.119995,229.119995,185459
2012-07-01,228.160004,241.279999,218.240005,222.080002,222.080002,215778
2012-08-01,221.440002,229.759995,206.080002,211.839996,211.839996,167753
2012-09-01,211.839996,214.399994,192.000000,200.639999,200.639999,141550
2012-10-01,198.720001,211.199997,191.360001,206.720001,206.720001,139907
2012-11-01,205.440002,227.199997,200.320007,202.880005,202.880005,220660
2012-12-01,201.600006,208.320007,193.600006,199.039993,199.039993,165031
2013-01-01,190.080002,192.639999,176.960007,179.520004,179.520004,100995
2013-02-01,177.279999,181.440002,171.199997,174.080002,174.080002,140768
2013-03-01,176.000000,176.960007,160.960007,161.600006,161.600006,124489
2013-04-01,161.279999,167.360001,154.559998,154.559998,154.559998,276058
2013-05-01,155.199997,157.759995,137.279999,146.559998,146.559998,218762
2013-06-01,146.240005,158.720001,142.080002,150.080002,150.080002,335508
2013-07-01,148.800003,150.080002,133.119995,135.360001,135.360001,187747
2013-08-01,132.800003,144.000000,131.520004,143.039993,143.039993,139919
2013-09-01,139.839996,143.039993,126.720001,134.080002,134.080002,152049
2013-10-01,133.440002,139.520004,119.360001,121.599998,121.599998,232636
2013-11-01,121.279999,123.199997,113.279999,114.559998,114.559998,160041
2013-12-01,114.559998,118.400002,108.480003,108.480003,108.480003,119842
2014-01-01,109.120003,117.440002,107.839996,116.160004,116.160004,163795
2014-02-01,116.160004,121.599998,104.320000,105.599998,105.599998,230179
2014-03-01,108.160004,108.480003,101.760002,103.040001,103.040001,233045
2014-04-01,102.400002,109.120003,100.160004,101.120003,101.120003,261239
2014-05-01,101.440002,103.680000,96.320000,96.320000,96.320000,141636
2014-06-01,96.320000,97.279999,91.599998,92.320000,92.320000,118830
2014-07-01,90.959999,94.400002,89.040001,94.320000,94.320000,206932
2014-08-01,94.879997,96.800003,87.120003,87.199997,87.199997,248329
2014-09-01,87.120003,90.400002,85.360001,89.279999,89.279999,291055
2014-10-01,89.680000,103.760002,84.320000,84.400002,84.400002,675107
2014-11-01,84.160004,85.760002,79.120003,80.720001,80.720001,210329
2014-12-01,80.959999,87.279999,77.199997,79.519997,79.519997,290442
2015-01-01,79.279999,85.040001,78.639999,84.000000,84.000000,450730
2015-02-01,84.000000,85.199997,73.919998,74.879997,74.879997,278879
2015-03-01,74.959999,79.519997,73.839996,76.879997,76.879997,325131
2015-04-01,76.959999,78.320000,72.480003,75.279999,75.279999,265093
2015-05-01,74.720001,76.320000,71.360001,73.040001,73.040001,294853
2015-06-01,72.559998,76.160004,71.279999,75.680000,75.680000,278793
2015-07-01,73.599998,76.800003,70.559998,72.239998,72.239998,319416
2015-08-01,72.800003,95.199997,71.680000,80.000000,80.000000,859631
2015-09-01,84.160004,88.000000,76.000000,83.599998,83.599998,803330
2015-10-01,83.360001,85.760002,69.760002,70.720001,70.720001,701654
2015-11-01,70.400002,74.480003,68.160004,69.760002,69.760002,507442
2015-12-01,69.199997,75.440002,68.320000,71.440002,71.440002,739366
2016-01-01,74.080002,89.919998,72.959999,78.559998,78.559998,1064167
2016-02-01,79.440002,89.360001,75.599998,78.000000,78.000000,942717
2016-03-01,76.800003,77.279999,67.360001,68.160004,68.160004,702332
2016-04-01,69.040001,69.760002,64.639999,67.440002,67.440002,661293
2016-05-01,67.120003,69.599998,64.400002,64.800003,64.800003,722066
2016-06-01,65.360001,71.360001,63.360001,64.080002,64.080002,979006
2016-07-01,64.480003,65.519997,59.279999,59.360001,59.360001,528843
2016-08-01,60.240002,60.959999,58.000000,59.200001,59.200001,318468
2016-09-01,59.200001,61.919998,58.240002,58.799999,58.799999,704992
2016-10-01,59.119999,61.680000,58.959999,60.959999,60.959999,573167
2016-11-01,60.639999,63.279999,55.680000,56.320000,56.320000,854506
2016-12-01,56.320000,57.040001,52.480000,54.160000,54.160000,503131
2017-01-01,53.360001,53.840000,51.200001,52.160000,52.160000,533592
2017-02-01,51.759998,52.400002,47.919998,48.160000,48.160000,464993
2017-03-01,47.360001,49.680000,46.639999,47.919998,47.919998,581244
2017-04-01,47.840000,49.200001,46.400002,46.880001,46.880001,547253
2017-05-01,46.799999,48.000000,45.360001,45.599998,45.599998,386881
2017-06-01,45.360001,45.599998,44.000000,44.720001,44.720001,406057
2017-07-01,44.320000,45.439999,42.720001,43.200001,43.200001,194817
2017-08-01,43.040001,44.880001,42.480000,42.880001,42.880001,377967
2017-09-01,42.560001,43.759998,41.200001,41.200001,41.200001,196867
2017-10-01,41.040001,41.119999,39.119999,39.360001,39.360001,235717
2017-11-01,39.119999,39.759998,36.720001,37.040001,37.040001,269618
2017-12-01,36.959999,38.080002,35.599998,36.080002,36.080002,371955
2018-01-01,34.880001,36.000000,31.360001,32.320000,32.320000,1094480
2018-02-01,32.480000,39.759998,32.080002,34.400002,34.400002,2452842
2018-03-01,34.480000,37.680000,32.320000,35.919998,35.919998,1850857
2018-04-01,36.240002,38.400002,33.840000,35.520000,35.520000,1542381
2018-05-01,35.759998,37.040001,33.119999,33.919998,33.919998,986818
2018-06-01,33.759998,34.240002,31.920000,33.439999,33.439999,653842
2018-07-01,33.520000,34.160000,30.559999,31.280001,31.280001,579020
2018-08-01,31.280001,31.760000,29.040001,29.360001,29.360001,617494
2018-09-01,29.440001,30.160000,28.559999,29.120001,29.120001,776904
2018-10-01,28.480000,36.000000,28.480000,33.200001,33.200001,2548355
2018-11-01,32.959999,36.320000,30.719999,31.760000,31.760000,2339180
2018-12-01,30.799999,43.200001,30.799999,38.000000,38.000000,3664429
2019-01-01,39.759998,39.759998,32.000000,32.080002,32.080002,2252656
2019-02-01,32.080002,32.560001,29.600000,30.240000,30.240000,864366
2019-03-01,29.760000,31.580000,28.600000,29.100000,29.100000,5348325
2019-04-01,28.660000,28.700001,26.879999,26.920000,26.920000,2122450
2019-05-01,26.820000,30.719999,26.799999,30.719999,30.719999,5595200
2019-06-01,30.719999,31.200001,26.400000,26.840000,26.840000,3754750
2019-07-01,26.400000,26.540001,25.280001,26.059999,26.059999,2559750
2019-08-01,26.219999,28.980000,25.540001,26.799999,26.799999,6812150
2019-09-01,27.180000,27.400000,25.059999,25.799999,25.799999,2962200
2019-10-01,25.660000,28.000000,24.500000,24.700001,24.700001,3661250
2019-11-01,24.420000,24.440001,22.340000,22.959999,22.959999,1212500
2019-12-01,22.980000,24.059999,21.480000,21.760000,21.760000,1494450
2020-01-01,21.520000,21.940001,20.320000,21.719999,21.719999,2655000
2020-02-01,21.540001,27.180000,19.559999,25.500000,25.500000,11982600
2020-03-01,25.059999,39.020000,22.000000,26.799999,26.799999,40643600
2020-04-01,28.700001,29.740000,19.639999,20.240000,20.240000,32492000
2020-05-01,20.980000,22.219999,17.980000,18.200001,18.200001,22702500
2020-06-01,18.360001,18.920000,16.139999,17.200001,17.200001,21018000
2020-07-01,16.660000,17.200001,15.300000,15.340000,15.340000,9676650
2020-08-01,15.200000,15.200000,13.180000,13.280000,13.280000,5058450
2020-09-01,13.280000,15.580000,12.640000,14.160000,14.160000,15738150
2020-10-01,13.940000,15.100000,12.780000,14.740000,14.740000,7935650
2020-11-01,14.420000,14.700000,11.710000,11.900000,11.900000,7590450
2020-12-01,11.670000,11.820000,11.000000,11.000000,11.000000,6419500
2021-01-01,10.950000,11.570000,10.330000,11.160000,11.160000,13880200
2021-02-01,10.960000,11.100000,9.830000,10.520000,10.520000,7020200
2021-03-01,10.240000,10.960000,9.480000,9.560000,9.560000,11519100
2021-04-01,9.450000,9.460000,8.460000,8.600000,8.600000,7079300
2021-05-01,8.490000,9.080000,8.340000,8.450000,8.450000,9190000
2021-06-01,8.320000,8.550000,8.010000,8.010000,8.010000,4309900
2021-07-01,7.900000,8.230000,7.510000,7.630000,7.630000,6230900
2021-08-01,7.650000,7.690000,7.110000,7.160000,7.160000,6290300
2021-09-01,7.130000,7.860000,7.080000,7.830000,7.830000,8379800
2021-10-01,7.730000,7.960000,6.800000,6.810000,6.810000,7508900
2021-11-01,6.790000,6.890000,6.390000,6.860000,6.860000,7190200
2021-12-01,6.700000,7.070000,6.140000,6.250000,6.250000,8386700
2022-01-01,6.100000,7.870000,6.100000,6.880000,6.880000,11395000
2022-02-01,6.860000,8.240000,6.620000,7.230000,7.230000,13091600
2022-03-01,7.270000,7.950000,6.340000,6.610000,6.610000,15906800
2022-04-01,6.580000,7.870000,6.440000,7.840000,7.840000,14474900
2022-05-01,7.900000,9.030000,7.200000,7.650000,7.650000,20604700
2022-06-01,7.570000,9.760000,7.490000,8.940000,8.940000,15767000
2022-07-01,8.810000,9.230000,7.420000,7.450000,7.450000,11853900
2022-08-01,7.550000,8.070000,6.780000,8.070000,8.070000,16423700
2022-09-01,8.170000,9.730000,7.430000,9.720000,9.720000,20781400
2022-10-01,9.520000,10.190000,8.090000,8.230000,8.230000,25921700
2022-11-01,8.060000,9.010000,7.340000,7.340000,7.340000,22856300
2022-12-01,7.280000,8.580000,7.210000,8.270000,8.270000,16337500
2023-01-01,8.190000,8.470000,7.290000,7.350000,7.350000,27604300
2023-02-01,7.390000,31.400000,6.940000,31.000000,31.000000,21007200
2023-02-28,30.889999,31.000000,30.600000,31.000000,31.000000,270952
