Date,Meta,Microsoft,Tesla,Google
2013-01-01,30.98,27.450001,27.450001,27.450001
2013-02-01,27.25,27.799999,27.799999,27.799999
2013-03-01,25.58,28.610001,28.610001,28.610001
2013-04-01,27.77,33.099998,33.099998,33.099998
2013-05-01,24.35,34.900002,34.900002,34.900002
2013-06-01,24.879999,34.540001,34.540001,34.540001
2013-07-01,36.799999,31.84,31.84,31.84
2013-08-01,41.290001,33.400002,33.400002,33.400002
2013-09-01,50.23,33.279999,33.279999,33.279999
2013-10-01,50.209999,35.41,35.41,35.41
2013-11-01,47.009998,38.130001,38.130001,38.130001
2013-12-01,54.650002,37.41,37.41,37.41
2014-01-01,62.57,37.84,37.84,37.84
2014-02-01,68.459999,38.310001,38.310001,38.310001
2014-03-01,60.240002,40.990002,40.990002,40.990002
2014-04-01,59.779999,40.400002,40.400002,40.400002
2014-05-01,63.299999,40.939999,40.939999,40.939999
2014-06-01,67.290001,41.700001,41.700001,41.700001
2014-07-01,72.650002,43.16,43.16,43.16
2014-08-01,74.82,45.43,45.43,45.43
2014-09-01,79.040001,46.360001,46.360001,46.360001
2014-10-01,74.989998,46.950001,46.950001,46.950001
2014-11-01,77.699997,47.810001,47.810001,47.810001
2014-12-01,78.019997,46.450001,46.450001,46.450001
2015-01-01,75.910004,40.400002,40.400002,40.400002
2015-02-01,78.970001,43.849998,43.849998,43.849998
2015-03-01,82.220001,40.66,40.66,40.66
2015-04-01,78.769997,48.639999,48.639999,48.639999
2015-05-01,79.190002,46.860001,46.860001,46.860001
2015-06-01,85.769997,44.150002,44.150002,44.150002
2015-07-01,94.010002,46.700001,46.700001,46.700001
2015-08-01,89.43,43.52,43.52,43.52
2015-09-01,89.900002,44.259998,44.259998,44.259998
2015-10-01,101.970001,52.639999,52.639999,52.639999
2015-11-01,104.239998,54.349998,54.349998,54.349998
2015-12-01,104.660004,55.48,55.48,55.48
2016-01-01,112.209999,55.09,55.09,55.09
2016-02-01,106.919998,50.880001,50.880001,50.880001
2016-03-01,114.099998,55.23,55.23,55.23
2016-04-01,117.580002,49.869999,49.869999,49.869999
2016-05-01,118.809998,53.0,53.0,53.0
2016-06-01,114.279999,51.169998,51.169998,51.169998
2016-07-01,123.940002,56.68,56.68,56.68
2016-08-01,126.120003,57.459999,57.459999,57.459999
2016-09-01,128.270004,57.599998,57.599998,57.599998
2016-10-01,130.990005,59.919998,59.919998,59.919998
2016-11-01,118.419998,60.259998,60.259998,60.259998
2016-12-01,115.050003,62.139999,62.139999,62.139999
2017-01-01,130.320007,64.650002,64.650002,64.650002
2017-02-01,135.539993,63.98,63.98,63.98
2017-03-01,142.050003,65.860001,65.860001,65.860001
2017-04-01,150.25,68.459999,68.459999,68.459999
2017-05-01,151.460007,69.839996,69.839996,69.839996
2017-06-01,150.979996,68.93,68.93,68.93
2017-07-01,169.25,72.699997,72.699997,72.699997
2017-08-01,171.970001,74.769997,74.769997,74.769997
2017-09-01,170.869995,74.489998,74.489998,74.489998
2017-10-01,180.059998,83.18,83.18,83.18
2017-11-01,177.179993,84.169998,84.169998,84.169998
2017-12-01,176.460007,85.540001,85.540001,85.540001
2018-01-01,186.889999,95.010002,95.010002,95.010002
2018-02-01,178.320007,93.769997,93.769997,93.769997
2018-03-01,159.789993,91.269997,91.269997,91.269997
2018-04-01,172.0,93.519997,93.519997,93.519997
2018-05-01,191.779999,98.839996,98.839996,98.839996
2018-06-01,194.320007,98.610001,98.610001,98.610001
2018-07-01,172.580002,106.080002,106.080002,106.080002
2018-08-01,175.729996,112.330002,112.330002,112.330002
2018-09-01,164.460007,114.370003,114.370003,114.370003
